sim,field,region,arm,nrmse_mean,nrmse_std,vs_base_x,static_share,dyn_nrmse_fluctrange,n_seeds
sim_A_025,p,wake,ms_tik_d10,2.3468e-03,4.1172e-04,3.0923e+00,1.7431e-01,4.4255e-03,5
sim_A_025,p,wake,ms_wall,3.0280e-03,3.0170e-04,2.3967e+00,4.3152e-01,4.6789e-03,5
sim_A_025,p,far,base,9.3801e-03,5.4173e-04,1.0000e+00,8.4297e-01,7.6345e-03,5
sim_A_025,p,far,ms,4.4254e-03,1.4950e-03,2.1196e+00,4.9735e-01,6.6813e-03,5
sim_A_025,p,far,ms_t0,4.6128e-03,2.1546e-03,2.0335e+00,4.9742e-01,7.0743e-03,5
sim_A_025,p,far,ms_tik,4.0528e-03,1.2098e-03,2.3144e+00,4.6148e-01,6.1182e-03,5
sim_A_025,p,far,ms_tik_d10,4.2985e-03,1.8871e-04,2.1822e+00,1.3890e-01,8.2423e-03,5
sim_A_025,p,far,ms_wall,3.6127e-03,2.4554e-04,2.5964e+00,4.7323e-01,5.3924e-03,5
sim_A_025,p,surface,base,3.5106e-02,3.2820e-03,1.0000e+00,9.1382e-01,2.0938e-02,5
sim_A_025,p,surface,ms,1.1582e-02,3.0045e-03,3.0312e+00,1.7958e-01,2.1790e-02,5
sim_A_025,p,surface,ms_t0,1.2501e-02,4.9996e-03,2.8083e+00,2.2410e-01,2.2852e-02,5
sim_A_025,p,surface,ms_tik,1.5607e-02,5.3363e-03,2.2493e+00,1.4509e-01,3.0095e-02,5
sim_A_025,p,surface,ms_tik_d10,2.3164e-02,1.2067e-04,1.5156e+00,8.1420e-02,4.5850e-02,5
sim_A_025,p,surface,ms_wall,1.1597e-02,3.5812e-03,3.0271e+00,2.6496e-01,2.0869e-02,5
sim_Cc_060,vx,all,base,1.0948e-01,7.8731e-04,1.0000e+00,9.6823e-01,2.5574e-02,5
sim_Cc_060,vx,all,ms,1.8881e-02,1.2696e-03,5.7986e+00,3.0729e-02,2.4366e-02,5
sim_Cc_060,vx,all,ms_t0,2.0425e-02,1.4003e-03,5.3604e+00,5.5582e-02,2.6009e-02,5
sim_Cc_060,vx,all,ms_tik,1.9479e-02,2.4700e-03,5.6205e+00,2.8502e-02,2.5165e-02,5
sim_Cc_060,vx,all,ms_tik_d10,2.2842e-02,1.7116e-04,4.7931e+00,2.6765e-02,2.9534e-02,5
sim_Cc_060,vx,all,ms_wall,2.0042e-02,1.1674e-03,5.4626e+00,3.1956e-02,2.5849e-02,5
sim_Cc_060,vx,near,base,1.3983e-01,1.0877e-03,1.0000e+00,9.6820e-01,3.2679e-02,5
