sim,d_s,field,region,time_window,nrmse,n_nodes,n_times,rmse,denom,denom_type
sim_A_025,1,vorticity,wake,peak,2.715235e+00,4541,28,4.830981e+01,1.779213e+01,fom_vorticity_rms
sim_A_025,1,vorticity,wake,decay,2.725347e+00,4541,55,4.706024e+01,1.726761e+01,fom_vorticity_rms
sim_A_025,1,vorticity,wake,quiescent,2.722136e+00,4541,51,4.671235e+01,1.716018e+01,fom_vorticity_rms
sim_A_025,1,vorticity,far,all,1.789900e+00,4517,150,4.463916e+02,2.493947e+02,fom_vorticity_rms
sim_A_025,1,vorticity,far,excitation,1.719813e+00,4517,44,4.754801e+02,2.764721e+02,fom_vorticity_rms
sim_A_025,1,vorticity,far,peak,1.720993e+00,4517,28,4.893958e+02,2.843684e+02,fom_vorticity_rms
sim_A_025,1,vorticity,far,decay,1.812306e+00,4517,55,4.340709e+02,2.395130e+02,fom_vorticity_rms
sim_A_025,1,vorticity,far,quiescent,1.845924e+00,4517,51,4.333922e+02,2.347834e+02,fom_vorticity_rms
sim_A_025,5,vx,all,all,1.647151e-01,11075,150,2.462167e+01,1.494803e+02,global_range_vx
sim_A_025,5,vx,all,excitation,1.655817e-01,11075,44,2.475121e+01,1.494803e+02,global_range_vx
sim_A_025,5,vx,all,peak,1.655547e-01,11075,28,2.474717e+01,1.494803e+02,global_range_vx
sim_A_025,5,vx,all,decay,1.644763e-01,11075,55,2.458597e+01,1.494803e+02,global_range_vx
sim_A_025,5,vx,all,quiescent,1.642221e-01,11075,51,2.454797e+01,1.494803e+02,global_range_vx
sim_A_025,5,vx,near,all,2.052813e-01,6283,150,3.068551e+01,1.494803e+02,global_range_vx
sim_A_025,5,vx,near,excitation,2.063227e-01,6283,44,3.084117e+01,1.494803e+02,global_range_vx
sim_A_025,5,vx,near,peak,2.062709e-01,6283,28,3.083343e+01,1.494803e+02,global_range_vx
sim_A_025,5,vx,near,decay,2.049975e-01,6283,55,3.064309e+01,1.494803e+02,global_range_vx
sim_A_025,5,vx,near,quiescent,2.046855e-01,6283,51,3.059646e+01,1.494803e+02,global_range_vx
sim_A_025,5,vx,wake,all,1.774071e-02,2234,150,2.651886e+00,1.494803e+02,global_range_vx
sim_A_025,5,vx,wake,excitation,1.843603e-02,2234,44,2.755823e+00,1.494803e+02,global_range_vx
sim_A_025,5,vx,wake,peak,1.839203e-02,2234,28,2.749247e+00,1.494803e+02,global_range_vx
sim_A_025,5,vx,wake,decay,1.763568e-02,2234,55,2.636186e+00,1.494803e+02,global_range_vx
sim_A_025,5,vx,wake,quiescent,1.723478e-02,2234,51,2.576260e+00,1.494803e+02,global_range_vx
sim_A_025,5,vx,far,all,1.169813e-01,2558,150,1.748640e+01,1.494803e+02,global_range_vx
sim_A_025,5,vx,far,excitation,1.176824e-01,2558,44,1.759120e+01,1.494803e+02,global_range_vx
sim_A_025,5,vx,far,peak,1.177470e-01,2558,28,1.760085e+01,1.494803e+02,global_range_vx
sim_A_025,5,vx,far,decay,1.167624e-01,2558,55,1.745368e+01,1.494803e+02,global_range_vx
sim_A_025,5,vx,far,quiescent,1.166100e-01,2558,51,1.743090e+01,1.494803e+02,global_range_vx
sim_A_025,5,vx,surface,all,5.852641e-02,387,150,8.748544e+00,1.494803e+02,global_range_vx
sim_A_025,5,vx,surface,excitation,6.175581e-02,387,44,9.231277e+00,1.494803e+02,global_range_vx
sim_A_025,5,vx,surface,peak,6.138276e-02,387,28,9.175513e+00,1.494803e+02,global_range_vx
sim_A_025,5,vx,surface,decay,5.785461e-02,387,55,8.648123e+00,1.494803e+02,global_range_vx
sim_A_025,5,vx,surface,quiescent,5.634298e-02,387,51,8.422166e+00,1.494803e+02,global_range_vx
sim_A_025,5,vy,all,all,3.963040e-02,11075,150,5.523125e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,all,excitation,4.263704e-02,11075,44,5.942149e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,all,peak,4.256835e-02,11075,28,5.932575e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,all,decay,3.869973e-02,11075,55,5.393422e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,all,quiescent,3.789178e-02,11075,51,5.280820e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,near,all,4.952202e-02,6283,150,6.901680e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,near,excitation,5.275244e-02,6283,44,7.351890e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,near,peak,5.265525e-02,6283,28,7.338345e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,near,decay,4.852459e-02,6283,55,6.762672e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,near,quiescent,4.767447e-02,6283,51,6.644194e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,wake,all,1.524664e-02,2234,150,2.124861e+00,1.393659e+02,global_range_vy
