sim,d_s,field,region,component,rmse,nrmse_fullrange,nrmse_fluctrange,rel_to_fluct_rms,n_nodes
sim_A_025,10,vy,all,static,5.905130e+00,4.237142e-02,1.294761e-01,5.226628e+00,11075
sim_A_025,10,vy,all,dynamic,1.047086e+00,7.513216e-03,2.295845e-02,9.267753e-01,11075
sim_A_025,10,vy,near,static,7.745963e+00,5.558006e-02,1.698383e-01,6.377658e+00,6283
sim_A_025,10,vy,near,dynamic,1.073792e+00,7.704840e-03,2.354400e-02,8.841091e-01,6283
sim_A_025,10,vy,wake,static,1.376528e+00,9.877079e-03,3.018181e-02,1.741791e+00,2234
sim_A_025,10,vy,wake,dynamic,7.908873e-01,5.674899e-03,1.734103e-02,1.000750e+00,2234
sim_A_025,10,vy,far,static,1.395124e+00,1.001052e-02,3.058956e-02,1.197220e+00,2558
sim_A_025,10,vy,far,dynamic,1.169834e+00,8.393981e-03,2.564984e-02,1.003888e+00,2558
sim_A_025,10,vy,surface,static,1.058342e+01,7.593982e-02,2.320525e-01,7.335776e+00,387
sim_A_025,10,vy,surface,dynamic,1.144123e+00,8.209490e-03,2.508608e-02,7.930356e-01,387
sim_A_025,10,p,all,static,4.710563e+02,4.441517e-02,9.172793e-02,3.739507e+00,11075
sim_A_025,10,p,all,dynamic,1.127197e+02,1.062816e-02,2.194969e-02,8.948312e-01,11075
sim_A_025,10,p,near,static,6.175520e+02,5.822802e-02,1.202548e-01,3.775203e+00,6283
sim_A_025,10,p,near,dynamic,1.454851e+02,1.371757e-02,2.833005e-02,8.893760e-01,6283
sim_A_025,10,p,wake,static,7.582532e+01,7.149451e-03,1.476533e-02,2.164694e+00,2234
sim_A_025,10,p,wake,dynamic,3.510485e+01,3.309981e-03,6.835902e-03,1.002188e+00,2234
sim_A_025,10,p,far,static,1.376694e+02,1.298063e-02,2.680811e-02,3.155332e+00,2558
sim_A_025,10,p,far,dynamic,4.411096e+01,4.159154e-03,8.589646e-03,1.011007e+00,2558
sim_A_025,10,p,surface,static,3.953579e+02,3.727768e-02,7.698731e-02,1.615966e+00,387
sim_A_025,10,p,surface,dynamic,2.137638e+02,2.015546e-02,4.162584e-02,8.737276e-01,387
sim_Cc_060,1,vx,all,static,2.268089e+01,1.080283e-01,1.415852e-01,4.663802e+00,11075
sim_Cc_060,1,vx,all,dynamic,4.124647e+00,1.964556e-02,2.574806e-02,8.481385e-01,11075
sim_Cc_060,1,vx,near,static,2.897522e+01,1.380080e-01,1.808774e-01,4.604804e+00,6283
sim_Cc_060,1,vx,near,dynamic,5.261668e+00,2.506115e-02,3.284589e-02,8.361953e-01,6283
sim_Cc_060,1,vx,wake,static,1.357482e+00,6.465642e-03,8.474065e-03,7.560038e-01,2234
sim_Cc_060,1,vx,wake,dynamic,1.758417e+00,8.375282e-03,1.097690e-02,9.792909e-01,2234
sim_Cc_060,1,vx,far,static,1.278527e+01,6.089581e-02,7.981187e-02,8.378757e+00,2558
sim_Cc_060,1,vx,far,dynamic,1.719418e+00,8.189528e-03,1.073344e-02,1.126811e+00,2558
sim_Cc_060,1,vx,surface,static,6.249534e+00,2.976632e-02,3.901263e-02,8.687069e-01,387
sim_Cc_060,1,vx,surface,dynamic,5.129021e+00,2.442935e-02,3.201784e-02,7.129517e-01,387
sim_Cc_060,1,vy,all,static,4.332153e+00,1.978199e-02,2.539230e-02,1.262636e+00,11075
sim_Cc_060,1,vy,all,dynamic,2.388104e+00,1.090484e-02,1.399753e-02,6.960293e-01,11075
sim_Cc_060,1,vy,near,static,5.684795e+00,2.595859e-02,3.332063e-02,1.615655e+00,6283
sim_Cc_060,1,vy,near,dynamic,2.512333e+00,1.147212e-02,1.472569e-02,7.140213e-01,6283
sim_Cc_060,1,vy,wake,static,6.542567e-01,2.987545e-03,3.834833e-03,2.160268e-01,2234
sim_Cc_060,1,vy,wake,dynamic,2.198468e+00,1.003891e-02,1.288601e-02,7.259048e-01,2234
sim_Cc_060,1,vy,far,static,1.226381e+00,5.600046e-03,7.188258e-03,3.462047e-01,2558
sim_Cc_060,1,vy,far,dynamic,2.228756e+00,1.017721e-02,1.306354e-02,6.291731e-01,2558
sim_Cc_060,1,vy,surface,static,3.697735e+00,1.688504e-02,2.167375e-02,8.926863e-01,387
sim_Cc_060,1,vy,surface,dynamic,3.037198e+00,1.386881e-02,1.780211e-02,7.332232e-01,387
sim_Cc_060,1,p,all,static,4.324653e+02,1.974152e-02,2.118723e-02,1.067387e+00,11075
sim_Cc_060,1,p,all,dynamic,2.990567e+02,1.365158e-02,1.465131e-02,7.381154e-01,11075
sim_Cc_060,1,p,near,static,5.707983e+02,2.605625e-02,2.796441e-02,1.170329e+00,6283
