phase,kind,step,train_loss,valid_loss,wall_s
adam_r0,iter,150,0.0013779676980847945,0.003179972141872077,1272.6798582077026
adam_r0,iter,151,0.0013679396412486586,0.0031699073738911225,1280.561000585556
adam_r0,iter,152,0.0013580910462159675,0.003159987816744956,1288.242886543274
adam_r0,iter,153,0.0013484178599121408,0.003150235010922008,1295.3503074645996
adam_r0,iter,154,0.0013389166597607377,0.0031406762823028463,1302.6306149959564
adam_r0,iter,155,0.0013295829515372773,0.003131323175008922,1310.3420865535736
adam_r0,iter,156,0.001320411498546485,0.0031221608284863005,1318.738216161728
adam_r0,iter,157,0.0013113974628327077,0.0031131541173684478,1326.8891801834106
adam_r0,iter,158,0.0013025365046853185,0.003104265973684953,1334.3751859664917
adam_r0,iter,159,0.0012938246190061765,0.0030954778758554204,1341.50519490242
adam_r0,iter,160,0.0012852584842779511,0.0030868009228054083,1348.9840741157532
adam_r0,iter,161,0.0012768352798026984,0.003078269887811289,1356.4190318584442
adam_r0,iter,162,0.0012685517524872814,0.0030699230670021235,1364.4061484336853
adam_r0,iter,163,0.0012604040461810313,0.003061780158924053,1372.1377410888672
adam_r0,iter,164,0.001252388605797411,0.003053830622877011,1379.2243964672089
adam_r0,iter,165,0.0012445025715526348,0.0030460376232913007,1386.537901878357
adam_r0,iter,166,0.0012367431334107282,0.0030383547445765875,1394.180564880371
adam_r0,iter,167,0.0012291071595265342,0.0030307471257862394,1402.2004647254944
adam_r0,iter,168,0.001221591643903869,0.0030232061120568543,1410.0579998493195
adam_r0,iter,169,0.0012141939557132094,0.0030157494757801218,1417.3807966709137
adam_r0,iter,170,0.0012069114774854509,0.003008407874874646,1424.912009716034
adam_r0,iter,171,0.001199741475254917,0.0030012063782036223,1432.961067199707
adam_r0,iter,172,0.0011926814777821555,0.002994151412966259,1441.182630777359
adam_r0,iter,173,0.001185729385627175,0.0029872289101727924,1448.3252041339874
adam_r0,iter,174,0.001178883064088452,0.0029804131997456487,1456.4100992679596
adam_r0,iter,175,0.0011721401268299956,0.0029736811458138694,1464.008109331131
adam_r0,iter,176,0.001165498201502721,0.0029670235462763337,1472.1595480442047
adam_r0,iter,177,0.0011589551385401495,0.0029604476344215294,1479.9246847629547
adam_r0,iter,178,0.0011525088841936961,0.0029539701949806096,1488.1112263202667
adam_r0,iter,179,0.0011461573720089814,0.0029476063714285418,1495.6347801685333
adam_r0,iter,180,0.0011398986144035242,0.002941360863356419,1503.4670729637146
adam_r0,iter,181,0.0011337307442173517,0.0029352257947128355,1510.7221422195435
adam_r0,iter,182,0.0011276519220454312,0.0029291854543441317,1518.5334799289703
adam_r0,iter,183,0.0011216603196575515,0.0029232245201782437,1525.9091022014618
adam_r0,iter,184,0.0011157542080034964,0.002917334805840382,1533.718365430832
adam_r0,iter,185,0.0011099319605777605,0.0029115169402616258,1541.78622341156
adam_r0,iter,186,0.0011041919644847718,0.0029057768740324806,1549.723307132721
adam_r0,iter,187,0.0010985326011805577,0.0029001201832785438,1557.8877356052399
adam_r0,iter,188,0.0010929522986377876,0.0028945478640328296,1565.509920835495
adam_r0,iter,189,0.00108744953399229,0.0028890557893618274,1572.9316005706787
adam_r0,iter,190,0.001082022801990597,0.002883637572681509,1580.4247748851776
adam_r0,iter,191,0.0010766706370389796,0.002878288590471512,1588.171353816986
adam_r0,iter,192,0.0010713916483777665,0.0028730084042011537,1595.7101969718933
adam_r0,iter,193,0.001066184490664874,0.002867800114889125,1603.8073077201843
adam_r0,iter,194,0.0010610478208034262,0.0028626673594056894,1611.2079229354858
adam_r0,iter,195,0.0010559803159961403,0.0028576111138986122,1618.9923539161682
adam_r0,iter,196,0.001050980708075651,0.0028526283418601,1626.6168348789215
adam_r0,iter,197,0.0010460477692441606,0.0028477131936869094,1634.2603147029877
adam_r0,iter,198,0.001041180285845039,0.0028428598815248315,1642.1668303012848
adam_r0,iter,199,0.0010363770700088414,0.0028380653866890765,1650.1897122859955
adam_r0,iter,200,0.0010316369765050628,0.002833330347849953,1658.189138174057
adam_r0,iter,201,0.0010269588875378328,0.0028286577240791556,1666.5697045326233
adam_r0,iter,202,0.0010223416962282985,0.0028240502638271587,1675.159984111786
adam_r0,iter,203,0.001017784318372099,0.002819508438492244,1683.985847234726
adam_r0,iter,204,0.0010132857060715559,0.002815030006731595,1692.1219880580902
adam_r0,iter,205,0.001008844839716824,0.0028106112435600243,1700.3698143959045
adam_r0,iter,206,0.0010044607177811039,0.002806248851104844,1708.989660024643
adam_r0,iter,207,0.001000132359929797,0.002801941241274934,1717.1876649856567
adam_r0,iter,208,0.000995858809463412,0.0027976884093700682,1725.9384183883667
adam_r0,iter,209,0.0009916391283543225,0.0027934906357005595,1735.817417383194
adam_r0,iter,210,0.000987472397094246,0.002789347046924083,1745.3267557621002
adam_r0,iter,211,0.0009833577202357428,0.002785255106902397,1752.9235241413116
adam_r0,iter,212,0.0009792942255154528,0.002781211424401426,1761.3043010234833
adam_r0,iter,213,0.0009752810575788223,0.0027772133616663745,1770.5590178966522
adam_r0,iter,214,0.0009713173768098401,0.002773260382788749,1779.5368130207062
adam_r0,iter,215,0.0009674023618098904,0.0027693542250520034,1787.9972033500671
adam_r0,iter,216,0.0009635352084200344,0.0027654977171678832,1796.8865809440613
adam_r0,iter,217,0.0009597151282014905,0.002761692923452178,1805.6074814796448
adam_r0,iter,218,0.0009559413505712767,0.002757939703925987,1814.0169184207916
adam_r0,iter,219,0.0009522131235389196,0.0027542355057748715,1822.67577958107
adam_r0,iter,220,0.0009485297098827107,0.0027505764531842213,1830.6377313137054
adam_r0,iter,221,0.0009448903848756199,0.0027469590553801347,1839.600263118744
adam_r0,iter,222,0.0009412944386805475,0.002743381542939863,1847.616868019104
adam_r0,iter,223,0.0009377411778289113,0.0027398441307073963,1855.7346992492676
adam_r0,iter,224,0.0009342299230014743,0.0027363481869845424,1864.5537838935852
adam_r0,iter,225,0.0009307600074342605,0.002732894920058836,1872.6728699207306
adam_r0,iter,226,0.0009273307777998337,0.0027294843939227485,1881.4496188163757
adam_r0,iter,227,0.0009239415943902954,0.0027261153829631493,1890.0947768688202
adam_r0,iter,228,0.0009205918298732694,0.0027227860121415413,1898.552490234375
adam_r0,iter,229,0.0009172808690395325,0.0027194946699606575,1906.2838776111603
adam_r0,iter,230,0.0009140081093749006,0.0027162405896853014,1914.1296730041504
adam_r0,iter,231,0.0009107729604966173,0.0027130237870870073,1923.1226177215576
adam_r0,iter,232,0.0009075748430954104,0.0027098444950277556,1931.8811738491058
adam_r0,iter,233,0.0009044131889249354,0.002706702539561508,1940.2679159641266
adam_r0,iter,234,0.0009012874410303433,0.0027035970817021948,1948.7962365150452
adam_r0,iter,235,0.0008981970531455782,0.0027005268571417594,1957.1497333049774
adam_r0,iter,236,0.0008951414891116811,0.0026974907017372407,1965.3377735614777
adam_r0,iter,237,0.0008921202229432832,0.0026944879806724492,1973.2938985824585
adam_r0,iter,238,0.0008891327387333826,0.0026915186381277234,1981.8340146541595
adam_r0,iter,239,0.0008861785301762977,0.002688582863047592,1990.0763654708862
adam_r0,iter,240,0.000883257100451779,0.002685680623295483,1998.9247181415558
adam_r0,iter,241,0.0008803679623373575,0.0026828113858858977,2007.246664762497
adam_r0,iter,242,0.0008775106378092972,0.0026799741902632265,2015.4956431388855
adam_r0,iter,243,0.0008746846574353912,0.0026771679946888853,2023.5157968997955
adam_r0,iter,244,0.0008718895602698225,0.0026743920434042466,2032.433436870575
adam_r0,iter,245,0.000869124893950238,0.0026716460116613314,2040.5053713321686
adam_r0,iter,246,0.0008663902144356737,0.0026689298560346087,2048.471672296524
adam_r0,iter,247,0.000863685085650434,0.0026662435011387277,2056.8308234214783
adam_r0,iter,248,0.0008610090793975184,0.002663586590631158,2064.667001247406
adam_r0,iter,249,0.0008583617752968316,0.002660958464583963,2072.6210882663727
adam_r0,iter,250,0.0008557427605562968,0.002658358356224507,2081.1402530670166
adam_r0,iter,251,0.0008531516297871902,0.0026557856516829605,2089.6284132003784
adam_r0,iter,252,0.0008505879849036085,0.0026532400261412166,2098.0762956142426
adam_r0,iter,253,0.0008480514349141849,0.0026507213702916172,2106.0676009655
adam_r0,iter,254,0.0008455415956682083,0.0026482295738717286,2113.620927810669
adam_r0,iter,255,0.00084305808973821,0.0026457643288857226,2121.7547409534454
adam_r0,iter,256,0.0008406005463489041,0.0026433250914647995,2129.3696026802063
adam_r0,iter,257,0.0008381686012150196,0.00264091122240623,2137.896758556366
adam_r0,iter,258,0.0008357618963770587,0.0026385222000092105,2145.8166007995605
adam_r0,iter,259,0.000833380080101415,0.002636157752112566,2153.624160528183
adam_r0,iter,260,0.0008310228067502981,0.002633817815217345,2161.3518068790436
adam_r0,iter,261,0.000828689736613653,0.0026315023503079796,2168.9069318771362
adam_r0,iter,262,0.000826380535802462,0.002629211141479548,2176.6404840946198
adam_r0,iter,263,0.0008240948761764336,0.0026269437107724275,2184.068014860153
adam_r0,iter,264,0.0008218324352103105,0.0026246994009823405,2192.2110607624054
adam_r0,iter,265,0.0008195928958364469,0.002622477567328352,2200.1795444488525
adam_r0,iter,266,0.0008173759463406464,0.0026202777535231517,2208.4300379753113
adam_r0,iter,267,0.000815181280275114,0.002618099747302434,2215.9649493694305
adam_r0,iter,268,0.000813008596342102,0.002615943495239031,2224.2713809013367
adam_r0,iter,269,0.0008108575982832355,0.002613808945685962,2232.250629901886
adam_r0,iter,270,0.0008087279947926176,0.002611695923768346,2240.539110660553
adam_r0,iter,271,0.0008066194994194465,0.0026096041068351815,2249.328840494156
adam_r0,iter,272,0.0008045318304594649,0.0026075330944881334,2257.5201325416565
